Symptoms,Disease
"high fever, blister, red sore around nose, yellow crust ooze",Urinary tract infection
"continuous sneezing, shivering, chills, watering from eyes",Allergy
"fatigue, cramps, bruising, swollen legs, swollen blood vessels, prominent veins on calf,",hepatitis A
"pus filled pimples, blackheads, scurring,",Drug Reaction
"stomach pain, acidity, vomiting, cough, chest pain",Paralysis (brain hemorrhage)
"fatigue, mood swings, weight loss, restlessness, sweating, diarrhoea, fast heart rate, muscle weakness, irritability, abnormal menstruation,",Dimorphic hemmorhoids(piles)
"chills, fatigue, cough, high fever, headache, swelled lymph nodes, malaise, phlegm, throat irritation, redness of eyes, sinus pressure, runny nose, congestion, chest pain, loss of smell, muscle pain,",Pneumonia
"fatigue, weight gain, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation",Hepatitis D
"itching, vomiting, yellowish skin, nausea, loss of appetite, yellowing of eyes,",Allergy
"itching, vomiting, yellowish skin, nausea, abdominal pain, yellowing of eyes,",Alcoholic hepatitis
"fatigue, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation,",Malaria
"vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes,",Varicose veins
"joint pain, neck pain, knee pain, hip joint pain, swelling joints, painful walking,",Acne
"fatigue, mood swings, weight loss, restlessness, sweating, fast heart rate, excessive hunger, muscle weakness, irritability, abnormal menstruation,",Acne
"vomiting, breathlessness, sweating,",hepatitis A
"vomiting, breathlessness, chest pain,",hepatitis A
"fatigue, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf,","Chronic cholestasis,"
"vomiting, headache, weakness of one body side, altered sensorium",Drug Reaction
"itching, skin rash, burning micturition, spotting  urination",Fungal infection
"fatigue, weight gain, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation",Hepatitis B
"skin rash, pus filled pimples, scurring,",Drug Reaction
"skin rash, nodal skin eruptions, dischromic  patches,",Bronchial Asthma
"continuous sneezing, shivering, chills, watering from eyes",Acne
"chills, vomiting, fatigue, weight loss, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum",Common Cold
"fatigue, yellowish skin, nausea, loss of appetite, family history",Arthritis
"vomiting, sweating, chest pain,",Bronchial Asthma
"vomiting, indigestion, loss of appetite, abdominal pain, passage of gases",Common Cold
"joint pain, vomiting, fatigue, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes,",hepatitis A
"patches in throat, high fever, extra marital contacts,",Psoriasis
"fatigue, cramps, obesity, swollen legs, swollen blood vessels, prominent veins on calf,",GERD
"itching, vomiting, yellowish skin, loss of appetite, abdominal pain, yellowing of eyes,",Tuberculosis
"vomiting, loss of appetite, abdominal pain, passage of gases, internal itching",Hypoglycemia
"skin rash, pus filled pimples, scurring,",(vertigo) Paroymsal  Positional Vertigo
"constipation, pain during bowel movements, pain in anal region, irritation in anus",Dimorphic hemmorhoids(piles)
"fatigue, cramps, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf",Tuberculosis
"itching, vomiting, fatigue, weight loss, yellowish skin, dark urine, abdominal pain",Impetigo
"itching, vomiting, yellowish skin, loss of appetite, abdominal pain, yellowing of eyes,",Common Cold
"muscle wasting, high fever, extra marital contacts,",Urinary tract infection
"vomiting, headache, nausea, spinning movements, loss of balance, unsteadiness,",Typhoid
"vomiting, indigestion, loss of appetite, abdominal pain, internal itching",(vertigo) Paroymsal  Positional Vertigo
"skin rash, blackheads, scurring,",Gastroenteritis
"itching, vomiting, nausea, loss of appetite, abdominal pain, yellowing of eyes,",GERD
"fatigue, cramps, bruising, swollen legs, swollen blood vessels, prominent veins on calf,",Hypothyroidism
"fatigue, cough, high fever, breathlessness, sweating, malaise, phlegm, chest pain, fast heart rate, rusty sputum,",Allergy
"vomiting, fatigue, anxiety, sweating, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations",AIDS
"acidity, ulcers on tongue, vomiting, cough, chest pain",Bronchial Asthma
"joint pain, skin peeling, silver like dusting, small dents in nails, inflammatory nails",Peptic ulcer diseae
"joint pain, vomiting, fatigue, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes,",Bronchial Asthma
"vomiting, breathlessness, chest pain,",Pneumonia
"constipation, pain during bowel movements, bloody stool, irritation in anus",Jaundice
"itching, vomiting, nausea, loss of appetite, abdominal pain, yellowing of eyes,",GERD
"itching, fatigue, lethargy, yellowish skin, dark urine, loss of appetite, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections",Hepatitis C
"vomiting, indigestion, abdominal pain, passage of gases, internal itching",Varicose veins
"vomiting, headache, nausea, loss of balance, unsteadiness",Heart attack
"continuous sneezing, chills, fatigue, cough, headache, swelled lymph nodes, malaise, phlegm, throat irritation, redness of eyes, sinus pressure, runny nose, congestion, chest pain, loss of smell, muscle pain,",GERD
"vomiting, indigestion, loss of appetite, abdominal pain, passage of gases","Chronic cholestasis,"
"chills, vomiting, fatigue, weight loss, cough, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum,",Acne
"fatigue, mood swings, weight loss, restlessness, sweating, fast heart rate, excessive hunger, muscle weakness, irritability, abnormal menstruation,",Dengue
"itching, vomiting, fatigue, weight loss, high fever, yellowish skin, abdominal pain",Migraine
"chills, vomiting, fatigue, weight loss, cough, high fever, breathlessness, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum",Fungal infection
"vomiting, breathlessness, sweating,",Malaria
"weakness in limbs, neck pain, dizziness, loss of balance",Cervical spondylosis
"vomiting, nausea, spinning movements, loss of balance, unsteadiness",Bronchial Asthma
"burning micturition, bladder discomfort, foul smell of urine,",AIDS
"fatigue, weight gain, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation",Chicken pox
"fatigue, cramps, obesity, swollen legs, swollen blood vessels, prominent veins on calf,",Hepatitis B
"itching, vomiting, yellowish skin, nausea, loss of appetite, yellowing of eyes,",Peptic ulcer diseae
"fatigue, cough, high fever, breathlessness, sweating, malaise, phlegm, chest pain, fast heart rate, rusty sputum,",Typhoid
"itching, vomiting, fatigue, high fever, yellowish skin, dark urine, abdominal pain",Chicken pox
"fatigue, weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria,",Common Cold
"vomiting, breathlessness, sweating,",Peptic ulcer diseae
"vomiting, breathlessness, chest pain,",Osteoarthristis
"itching, skin rash, burning micturition, spotting  urination",GERD
"fatigue, cramps, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf",Dengue
"skin rash, pus filled pimples, blackheads, scurring",Allergy
"vomiting, breathlessness, chest pain,",Hepatitis B
"skin rash, pus filled pimples, blackheads,",Allergy
"vomiting, fatigue, anxiety, sweating, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations",Osteoarthristis
"joint pain, vomiting, fatigue, high fever, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes, acute liver failure, coma, stomach bleeding",Hepatitis C
"pain during bowel movements, pain in anal region, bloody stool, irritation in anus",Pneumonia
"chills, vomiting, fatigue, weight loss, cough, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum,",Allergy
"itching, skin rash, stomach pain, burning micturition",Drug Reaction
"chills, vomiting, fatigue, cough, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum",Osteoarthristis
"vomiting, breathlessness, chest pain,",Pneumonia
"stiff neck, swelling joints, movement stiffness, painful walking",Diabetes
"joint pain, neck pain, knee pain, hip joint pain, swelling joints, painful walking,",Gastroenteritis
"fatigue, yellowish skin, nausea, loss of appetite, family history",Hepatitis B
"vomiting, indigestion, loss of appetite, abdominal pain, internal itching",Arthritis
"itching, skin rash, stomach pain, burning micturition, spotting  urination",Malaria
"itching, skin rash, stomach pain, burning micturition, spotting  urination",Urinary tract infection
"continuous sneezing, shivering, watering from eyes,",Hepatitis D
"fatigue, weight gain, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation,",Bronchial Asthma
"shivering, chills, watering from eyes,",Hypertension
"vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes,",Hypothyroidism
"vomiting, indigestion, loss of appetite, abdominal pain, passage of gases",Alcoholic hepatitis
"fatigue, weight gain, cold hands and feets, mood swings, lethargy, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation,",Hypothyroidism
"muscle wasting, patches in throat, high fever, extra marital contacts",Urinary tract infection
"skin rash, stomach pain, burning micturition, spotting  urination",Acne
"muscle wasting, patches in throat, high fever, extra marital contacts",Hepatitis B
"vomiting, sweating, chest pain,",Jaundice
"muscle wasting, high fever, extra marital contacts,",Urinary tract infection
"headache, dizziness, loss of balance, lack of concentration",Pneumonia
"fatigue, weight gain, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation",Hepatitis D
"muscle wasting, high fever, extra marital contacts,",Varicose veins
"skin rash, pus filled pimples, scurring,",Acne
"fatigue, weight loss, restlessness, sweating, diarrhoea, fast heart rate, excessive hunger, muscle weakness, irritability, abnormal menstruation,",Hepatitis D
"vomiting, breathlessness, sweating,",Heart attack
"weakness in limbs, neck pain, dizziness, loss of balance",Migraine
"acidity, ulcers on tongue, vomiting, cough, chest pain",AIDS
"vomiting, sweating, chest pain,",Dengue
"chills, fatigue, cough, high fever, sweating, malaise, phlegm, chest pain, fast heart rate, rusty sputum,",Hepatitis E
"itching, stomach pain, burning micturition, spotting  urination",Migraine
"fatigue, cold hands and feets, mood swings, lethargy, dizziness, puffy face and eyes, enlarged thyroid, brittle nails, swollen extremeties, depression, irritability, abnormal menstruation,",Hepatitis B
"fatigue, yellowish skin, nausea, loss of appetite, family history",AIDS
"itching, fatigue, lethargy, yellowish skin, dark urine, loss of appetite, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections",hepatitis A
"fatigue, weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria,",Jaundice
"chills, fatigue, cough, high fever, sweating, malaise, phlegm, chest pain, fast heart rate, rusty sputum,",Common Cold
"vomiting, indigestion, loss of appetite, abdominal pain, passage of gases, internal itching,",Malaria
"vomiting, fatigue, anxiety, sweating, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations",AIDS
"breathlessness, sweating, chest pain,",Diabetes
"skin rash, stomach pain, burning micturition, spotting  urination",Paralysis (brain hemorrhage)
"chills, vomiting, high fever, sweating, headache, nausea, muscle pain",Allergy
"fatigue, cramps, obesity, swollen legs, swollen blood vessels, prominent veins on calf,",Allergy
"vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes,",Cervical spondylosis
"vomiting, fatigue, anxiety, sweating, headache, nausea, blurred and distorted vision, excessive hunger, slurred speech, irritability, palpitations",Cervical spondylosis
"breathlessness, sweating, chest pain,",Fungal infection
"muscle wasting, high fever, extra marital contacts,",Fungal infection
"headache, chest pain, dizziness, loss of balance, lack of concentration",Tuberculosis
"itching, skin rash, burning micturition, spotting  urination",Dimorphic hemmorhoids(piles)
"vomiting, breathlessness, chest pain,",Arthritis
"itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes",Chicken pox
"itching, fatigue, lethargy, yellowish skin, dark urine, loss of appetite, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections",Impetigo
"continuous sneezing, shivering, chills, watering from eyes",Jaundice
"acidity, ulcers on tongue, vomiting, cough, chest pain","Chronic cholestasis,"
"skin rash, blackheads, scurring,",Psoriasis
"joint pain, vomiting, fatigue, yellowish skin, dark urine, nausea, abdominal pain, yellowing of eyes,",Hepatitis E
"fatigue, cough, high fever, breathlessness, family history, mucoid sputum,","Chronic cholestasis,"
"fatigue, weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria,",Psoriasis
"muscle weakness, stiff neck, swelling joints, movement stiffness, painful walking",hepatitis A
"itching, vomiting, nausea, loss of appetite, abdominal pain, yellowing of eyes,",Peptic ulcer diseae
"fatigue, cramps, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf",GERD
"headache, chest pain, dizziness, lack of concentration",Common Cold
"skin rash, joint pain, skin peeling, silver like dusting, small dents in nails, inflammatory nails,",Arthritis
"vomiting, indigestion, loss of appetite, passage of gases, internal itching",Dengue
"fatigue, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf,",Chicken pox
"skin rash, nodal skin eruptions, dischromic  patches,",Bronchial Asthma
"fatigue, high fever, breathlessness, family history, mucoid sputum",Hypoglycemia
"vomiting, fatigue, anxiety, sweating, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations",Malaria
"itching, fatigue, lethargy, yellowish skin, loss of appetite, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections",hepatitis A
"vomiting, fatigue, anxiety, sweating, headache, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations,",Alcoholic hepatitis
"vomiting, yellowish skin, abdominal pain, swelling of stomach, distention of abdomen, fluid overload,",Osteoarthristis
"itching, skin rash, stomach pain, burning micturition, spotting  urination",Hepatitis E
"joint pain, vomiting, fatigue, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes",Varicose veins
"vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes,",Acne
"fatigue, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf,",Varicose veins
"joint pain, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, diarrhoea, mild fever, yellowing of eyes, muscle pain,",Hepatitis D
"pus filled pimples, blackheads, scurring,",Arthritis
"itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain,",Alcoholic hepatitis
"vomiting, indigestion, abdominal pain, passage of gases, internal itching",Hypoglycemia
"itching, fatigue, yellowish skin, dark urine, loss of appetite, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections",Varicose veins
"weakness in limbs, neck pain, dizziness, loss of balance",Hypothyroidism
"fatigue, yellowish skin, nausea, loss of appetite, yellowing of eyes",Peptic ulcer diseae
"fatigue, cough, high fever, breathlessness, mucoid sputum",Paralysis (brain hemorrhage)
"itching, vomiting, yellowish skin, loss of appetite, abdominal pain, yellowing of eyes,",Malaria
"skin rash, nodal skin eruptions, dischromic  patches,",Osteoarthristis
"vomiting, headache, nausea, spinning movements, loss of balance, unsteadiness,",Hepatitis D
"itching, vomiting, yellowish skin, nausea, loss of appetite, yellowing of eyes,","Chronic cholestasis,"
"fatigue, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria",Peptic ulcer diseae
"fatigue, cramps, bruising, obesity, swollen legs, prominent veins on calf,",Common Cold
"itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes",Typhoid
"burning micturition, bladder discomfort, continuous feel of urine,",Hepatitis C
"vomiting, breathlessness, chest pain,",Dengue
"fatigue, cramps, bruising, obesity, swollen blood vessels, prominent veins on calf,",Impetigo
"vomiting, indigestion, abdominal pain, passage of gases, internal itching",Heart attack
"patches in throat, high fever, extra marital contacts,",Psoriasis
"itching, vomiting, yellowish skin, loss of appetite, abdominal pain, yellowing of eyes,",Jaundice
"itching, vomiting, fatigue, weight loss, yellowish skin, dark urine, abdominal pain",Hypothyroidism
"skin rash, chills, joint pain, vomiting, fatigue, high fever, headache, nausea, loss of appetite, pain behind the eyes, back pain, malaise, muscle pain, red spots over body,",Impetigo
"chills, vomiting, high fever, sweating, headache, diarrhoea, muscle pain",Tuberculosis
"vomiting, headache, nausea, spinning movements, loss of balance, unsteadiness,",Varicose veins
"back pain, neck pain, dizziness, loss of balance",(vertigo) Paroymsal  Positional Vertigo
"fatigue, yellowish skin, nausea, loss of appetite, family history",Alcoholic hepatitis
"vomiting, breathlessness, chest pain,",Jaundice
"skin rash, stomach pain, burning micturition, spotting  urination",Acne
"vomiting, breathlessness, sweating,",Migraine
"vomiting, indigestion, loss of appetite, abdominal pain, internal itching",Urinary tract infection
"itching, fatigue, lethargy, yellowish skin, loss of appetite, abdominal pain, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections",Hepatitis E
"chills, vomiting, fatigue, cough, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum",Fungal infection
"pus filled pimples, blackheads, scurring,",Peptic ulcer diseae
"skin rash, blister, red sore around nose, yellow crust ooze",Malaria
"itching, vomiting, fatigue, weight loss, high fever, yellowish skin, dark urine",Peptic ulcer diseae
"muscle weakness, stiff neck, swelling joints, painful walking",Arthritis
"cramps, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf,",Hepatitis E
"vomiting, breathlessness, chest pain,",Peptic ulcer diseae
"vomiting, headache, nausea, spinning movements, loss of balance, unsteadiness,",Chicken pox
"itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain,",Dengue
"burning micturition, foul smell of urine, continuous feel of urine,",(vertigo) Paroymsal  Positional Vertigo
"itching, skin rash, stomach pain, spotting  urination",Chicken pox
"vomiting, headache, nausea, spinning movements, loss of balance, unsteadiness,",GERD
"fatigue, weight loss, restlessness, sweating, diarrhoea, fast heart rate, excessive hunger, muscle weakness, irritability, abnormal menstruation,",Hypothyroidism
"vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes,",Arthritis
"indigestion, headache, blurred and distorted vision, excessive hunger, stiff neck, depression, irritability, visual disturbances,",Cervical spondylosis
"vomiting, indigestion, loss of appetite, passage of gases, internal itching",Diabetes
"muscle weakness, stiff neck, swelling joints, painful walking",(vertigo) Paroymsal  Positional Vertigo
"skin rash, stomach pain, burning micturition, spotting  urination",Dimorphic hemmorhoids(piles)
"burning micturition, bladder discomfort, foul smell of urine, continuous feel of urine",hepatitis A
"vomiting, breathlessness, chest pain,",Hypothyroidism
"itching, fatigue, lethargy, yellowish skin, dark urine, loss of appetite, yellow urine, yellowing of eyes, malaise, receiving blood transfusion, receiving unsterile injections",Hepatitis D
"itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain,",Typhoid
"fatigue, cough, high fever, breathlessness, sweating, malaise, phlegm, chest pain, fast heart rate, rusty sputum,",Fungal infection
"vomiting, breathlessness, chest pain,",Pneumonia
"fatigue, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf,",Paralysis (brain hemorrhage)
"vomiting, breathlessness, chest pain,",Pneumonia
"vomiting, indigestion, loss of appetite, abdominal pain, passage of gases",Peptic ulcer diseae
"chills, vomiting, fatigue, weight loss, cough, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum,",Impetigo
"itching, skin rash, stomach pain, burning micturition",Hypertension
"indigestion, loss of appetite, abdominal pain, passage of gases, internal itching",Drug Reaction
"vomiting, headache, nausea, spinning movements, unsteadiness",Bronchial Asthma
"itching, vomiting, fatigue, weight loss, yellowish skin, dark urine, abdominal pain","Chronic cholestasis,"
"muscle weakness, stiff neck, swelling joints, movement stiffness",Paralysis (brain hemorrhage)
"skin rash, skin peeling, silver like dusting, small dents in nails, inflammatory nails",Jaundice
"cramps, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf,",AIDS
"vomiting, indigestion, loss of appetite, passage of gases, internal itching",Alcoholic hepatitis
"chills, fatigue, cough, high fever, headache, swelled lymph nodes, malaise, phlegm, throat irritation, redness of eyes, sinus pressure, runny nose, congestion, chest pain, loss of smell, muscle pain,",Dengue
"vomiting, indigestion, loss of appetite, abdominal pain, passage of gases, internal itching,","Chronic cholestasis,"
"itching, nodal skin eruptions, dischromic  patches,",Fungal infection
"pain during bowel movements, pain in anal region, bloody stool, irritation in anus","Chronic cholestasis,"
"continuous sneezing, shivering, chills, watering from eyes",Psoriasis
"vomiting, high fever, sweating, headache, nausea, diarrhoea, muscle pain",Chicken pox
"itching, nodal skin eruptions, dischromic  patches,",Bronchial Asthma
"chills, vomiting, fatigue, cough, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum",Diabetes
"vomiting, indigestion, loss of appetite, abdominal pain, passage of gases",Allergy
"continuous sneezing, shivering, chills, watering from eyes",Common Cold
"vomiting, indigestion, loss of appetite, abdominal pain, passage of gases","Chronic cholestasis,"
"vomiting, headache, spinning movements, loss of balance, unsteadiness",GERD
"fatigue, cough, high fever, family history, mucoid sputum",Dimorphic hemmorhoids(piles)
"itching, vomiting, fatigue, weight loss, high fever, dark urine, abdominal pain",Hepatitis D
"constipation, pain during bowel movements, bloody stool, irritation in anus",Dengue
"itching, skin rash, dischromic  patches,",hepatitis A
"yellowish skin, nausea, loss of appetite, yellowing of eyes, family history",Dimorphic hemmorhoids(piles)
"muscle wasting, patches in throat, high fever, extra marital contacts",Drug Reaction
"fatigue, bruising, obesity, swollen legs, swollen blood vessels, prominent veins on calf,",Cervical spondylosis
"vomiting, headache, nausea, loss of balance, unsteadiness",Tuberculosis
"burning micturition, bladder discomfort, foul smell of urine, continuous feel of urine",Hypoglycemia
"acidity, indigestion, headache, blurred and distorted vision, excessive hunger, stiff neck, depression, irritability, visual disturbances",GERD
"continuous sneezing, chills, fatigue, cough, high fever, headache, swelled lymph nodes, malaise, phlegm, throat irritation, redness of eyes, sinus pressure, runny nose, congestion, chest pain, loss of smell, muscle pain",Typhoid
"continuous sneezing, chills, watering from eyes,",Urinary tract infection
"itching, skin rash, stomach pain, spotting  urination",Hypothyroidism
"fatigue, cough, high fever, breathlessness, sweating, malaise, phlegm, chest pain, fast heart rate, rusty sputum,",Gastroenteritis
"itching, skin rash, stomach pain, burning micturition",Paralysis (brain hemorrhage)
"vomiting, indigestion, loss of appetite, abdominal pain, internal itching",Diabetes
"vomiting, indigestion, loss of appetite, passage of gases, internal itching",Hepatitis E
"vomiting, fatigue, anxiety, headache, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations",Osteoarthristis
"fatigue, mood swings, weight loss, sweating, diarrhoea, fast heart rate, excessive hunger, muscle weakness, irritability, abnormal menstruation,",Jaundice
"vomiting, indigestion, loss of appetite, passage of gases, internal itching",Hepatitis E
"constipation, pain during bowel movements, pain in anal region, bloody stool",Jaundice
"yellowish skin, nausea, loss of appetite, yellowing of eyes, family history",Allergy
"yellowish skin, nausea, loss of appetite, yellowing of eyes, family history",Pneumonia
"fatigue, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria",GERD
"muscle weakness, stiff neck, swelling joints, painful walking",Urinary tract infection
"itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain,",Bronchial Asthma
"fatigue, cramps, bruising, obesity, swollen legs, prominent veins on calf,",AIDS
"vomiting, fatigue, anxiety, headache, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations",Acne
"itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain,",Hypertension
"joint pain, neck pain, knee pain, hip joint pain, swelling joints, painful walking,",Osteoarthristis
"vomiting, breathlessness, chest pain,",hepatitis A
"vomiting, headache, nausea, spinning movements, loss of balance",Pneumonia
"vomiting, fatigue, anxiety, headache, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations",Acne
"itching, skin rash, dischromic  patches,",Hypothyroidism
"vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes,",Hepatitis B
"chills, fatigue, weight loss, cough, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum",GERD
"chest pain, dizziness, loss of balance, lack of concentration",Osteoarthristis
"itching, vomiting, yellowish skin, nausea, loss of appetite, yellowing of eyes,",Paralysis (brain hemorrhage)
"vomiting, fatigue, anxiety, sweating, headache, nausea, blurred and distorted vision, excessive hunger, slurred speech, irritability, palpitations",Alcoholic hepatitis
"vomiting, indigestion, loss of appetite, abdominal pain, internal itching",Chicken pox
"chills, vomiting, high fever, sweating, headache, diarrhoea, muscle pain",Impetigo
"vomiting, fatigue, anxiety, sweating, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations",Psoriasis
"joint pain, vomiting, fatigue, yellowish skin, dark urine, nausea, loss of appetite, abdominal pain,",Hypothyroidism
"vomiting, fatigue, anxiety, sweating, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations",Gastroenteritis
"chest pain, dizziness, loss of balance, lack of concentration",Hypertension
"fatigue, cramps, bruising, swollen legs, swollen blood vessels, prominent veins on calf,",Chicken pox
"skin rash, pus filled pimples, blackheads, scurring",Typhoid
"chills, fatigue, cough, high fever, headache, swelled lymph nodes, malaise, phlegm, throat irritation, redness of eyes, sinus pressure, runny nose, congestion, chest pain, loss of smell, muscle pain,",Chicken pox
"itching, vomiting, fatigue, weight loss, high fever, yellowish skin, abdominal pain",Tuberculosis
"joint pain, vomiting, fatigue, dark urine, nausea, loss of appetite, abdominal pain, yellowing of eyes,",Hepatitis E
"vomiting, breathlessness, sweating,",Diabetes
"muscle weakness, stiff neck, movement stiffness, painful walking",Hypoglycemia
"vomiting, breathlessness, sweating,",Hepatitis D
"fatigue, cramps, bruising, obesity, swollen legs, prominent veins on calf,",GERD
"skin rash, joint pain, silver like dusting, small dents in nails, inflammatory nails",Paralysis (brain hemorrhage)
"vomiting, breathlessness, chest pain,",Migraine
"vomiting, fatigue, anxiety, headache, nausea, blurred and distorted vision, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations",hepatitis A
"fatigue, yellowish skin, nausea, loss of appetite, yellowing of eyes",Psoriasis
"skin rash, blackheads, scurring,",Arthritis
"joint pain, vomiting, yellowish skin, dark urine, nausea, abdominal pain, diarrhoea, mild fever, yellowing of eyes, muscle pain,",Alcoholic hepatitis
"chills, fatigue, weight loss, cough, high fever, breathlessness, sweating, loss of appetite, mild fever, yellowing of eyes, swelled lymph nodes, malaise, phlegm, chest pain, blood in sputum",Tuberculosis
"chills, vomiting, high fever, sweating, headache, nausea, diarrhoea, muscle pain,",Chicken pox
"vomiting, headache, nausea, spinning movements, unsteadiness",Hypothyroidism
"fatigue, mood swings, weight loss, restlessness, sweating, diarrhoea, fast heart rate, excessive hunger, muscle weakness, irritability, abnormal menstruation",Paralysis (brain hemorrhage)
"vomiting, indigestion, loss of appetite, abdominal pain, passage of gases",Peptic ulcer diseae
"burning micturition, bladder discomfort, foul smell of urine, continuous feel of urine",Peptic ulcer diseae
"headache, chest pain, dizziness, lack of concentration",Varicose veins
"fatigue, weight loss, restlessness, lethargy, irregular sugar level, blurred and distorted vision, obesity, excessive hunger, increased appetite, polyuria,",AIDS
